São Lourenço da Mata, PE, BRAZIL: 0.57
Votorantim, SP, BRAZIL: 0.56
Nossa Senhora do Socorro, SE, BRAZIL: 0.56
Diadema, SP, BRAZIL: 0.55
Franco da Rocha, SP, BRAZIL: 0.55
Bento Gonçalves, RS, BRAZIL: 0.53
Olinda, PE, BRAZIL: 0.53
Santarém, PA, BRAZIL: 0.53
Ilhéus, BA, BRAZIL: 0.53
Itajaí, SC, BRAZIL: 0.53
Caruaru, PE, BRAZIL: 0.53
Jaboatão dos Guararapes, PE, BRAZIL: 0.52
Sumaré, SP, BRAZIL: 0.52
Salto, SP, BRAZIL: 0.52
Itabira, MG, BRAZIL: 0.52
Guarapuava, PR, BRAZIL: 0.52
Serra, ES, BRAZIL: 0.52
Queimados, RJ, BRAZIL: 0.52
Paço do Lumiar, MA, BRAZIL: 0.52
São Pedro da Aldeia, RJ, BRAZIL: 0.51
Araucária, PR, BRAZIL: 0.51
Rondonópolis, MT, BRAZIL: 0.51
Linhares, ES, BRAZIL: 0.51
Sabará, MG, BRAZIL: 0.51
Parauapebas, PA, BRAZIL: 0.51
Cubatão, SP, BRAZIL: 0.51
Macapá, AP, BRAZIL: 0.51
Maranguape, CE, BRAZIL: 0.50
João Pessoa, PB, BRAZIL: 0.50
Ribeirão Preto, SP, BRAZIL: 0.49
Cotia, SP, BRAZIL: 0.49
Brusque, SC, BRAZIL: 0.49
Açailândia, MA, BRAZIL: 0.49
Itapetininga, SP, BRAZIL: 0.49
Cametá, PA, BRAZIL: 0.49
Coronel Fabriciano, MG, BRAZIL: 0.49
Porto Seguro, BA, BRAZIL: 0.48
Itaituba, PA, BRAZIL: 0.48
Cuiabá, MT, BRAZIL: 0.48
Várzea Grande, MT, BRAZIL: 0.48
Patos, PB, BRAZIL: 0.48
Montes Claros, MG, BRAZIL: 0.48
Itumbiara, GO, BRAZIL: 0.48
Bacabal, MA, BRAZIL: 0.48
Parnaíba, PI, BRAZIL: 0.47
Trindade, GO, BRAZIL: 0.47
Uruguaiana, RS, BRAZIL: 0.47
Alvorada, RS, BRAZIL: 0.47
Balneário Camboriú, SC, BRAZIL: 0.47
Juazeiro do Norte, CE, BRAZIL: 0.47
Teixeira de Freitas, BA, BRAZIL: 0.46
Araguari, MG, BRAZIL: 0.46
Anápolis, GO, BRAZIL: 0.46
Marituba, PA, BRAZIL: 0.46
São José dos Campos, SP, BRAZIL: 0.46
Vila Velha, ES, BRAZIL: 0.46
Rio Claro, SP, BRAZIL: 0.46
Manaus, AM, BRAZIL: 0.46
Santa Rita, PB, BRAZIL: 0.45
Campinas, SP, BRAZIL: 0.45
Vespasiano, MG, BRAZIL: 0.45
Itapevi, SP, BRAZIL: 0.45
Jaú, SP, BRAZIL: 0.44
Ituiutaba, MG, BRAZIL: 0.44
Presidente Prudente, SP, BRAZIL: 0.44
Lavras, MG, BRAZIL: 0.44
Toledo, PR, BRAZIL: 0.44
Sarandi, PR, BRAZIL: 0.44
Salvador, BA, BRAZIL: 0.44
Crato, CE, BRAZIL: 0.44
Santa Luzia, MG, BRAZIL: 0.44
Umuarama, PR, BRAZIL: 0.44
Paulo Afonso, BA, BRAZIL: 0.43
Colombo, PR, BRAZIL: 0.43
Luís Eduardo Magalhães, BA, BRAZIL: 0.43
Timon, MA, BRAZIL: 0.43
Rio das Ostras, RJ, BRAZIL: 0.43
Mossoró, RN, BRAZIL: 0.43
Barcarena, PA, BRAZIL: 0.42
Feira de Santana, BA, BRAZIL: 0.42
Altamira, PA, BRAZIL: 0.42
Araras, SP, BRAZIL: 0.42
Teresópolis, RJ, BRAZIL: 0.42
Assis, SP, BRAZIL: 0.42
Magé, RJ, BRAZIL: 0.42
Resende, RJ, BRAZIL: 0.42
Cariacica, ES, BRAZIL: 0.42
Marabá, PA, BRAZIL: 0.42
São Leopoldo, RS, BRAZIL: 0.42
Belém, PA, BRAZIL: 0.41
Lauro de Freitas, BA, BRAZIL: 0.41
Ponta Grossa, PR, BRAZIL: 0.41
Suzano, SP, BRAZIL: 0.41
Birigui, SP, BRAZIL: 0.41
Paulínia, SP, BRAZIL: 0.41
